8,51,73500000.000000		
8,30,91500000.000000		
8,20,75000000.000000		
8,8,45000000.000000		
8,4,69000000.000000		
8,1,97500000.000000		
8,24,45000000.000000		
8,58,82500000.000000		
3,57,49500000.000000		
3,21,67500000.000000		
3,0,97500000.000000		
9,25,69000000.000000		
9,15,22500000.000000		
9,22,52500000.000000		
9,28,87000000.000000		
9,48,69000000.000000		
9,17,33000000.000000		
9,9,57000000.000000		
9,5,28500000.000000		
9,24,43500000.000000		
4,24,66000000.000000		
4,49,69000000.000000		
4,31,45000000.000000		
4,58,84000000.000000		
11,46,72000000.000000	
4,28,22500000.000000		
4,53,19500000.000000		
4,29,90000000.000000		
4,50,61500000.000000		
4,32,15000000.000000		
4,22,37500000.000000		
4,18,99000000.000000		
4,10,99000000.000000		
4,6,48000000.000000		
4,0,69000000.000000		
9,35,99000000.000000		
9,48,75000000.000000		
9,40,93000000.000000		
9,46,16500000.000000		
9,51,82500000.000000		
9,23,69000000.000000		
9,11,52500000.000000		
9,7,30000000.000000		
9,2,28500000.000000		
2,33,37500000.000000		
2,4,48000000.000000		
4,29,30000000.000000		
4,31,58500000.000000		
4,12,100500000.000000	
4,5,30000000.000000		
4,40,96000000.000000		
4,34,12000000.000000		
4,25,30000000.000000		
4,0,45000000.000000		
4,23,84000000.000000		
4,35,24000000.000000		
4,13,22500000.000000		
4,2,57000000.000000		
5,18,90000000.000000		
5,25,100500000.000000	
5,52,54000000.000000		
5,36,55500000.000000		
5,4,99000000.000000		
3,34,15000000.000000		
3,48,55500000.000000		
3,5,52500000.000000		
3,26,100500000.000000
3,14,72000000.000000		
3,7,100500000.000000		
6,51,72000000.000000		
6,36,57000000.000000		
6,53,97500000.000000		
6,37,49500000.000000		
6,15,96000000.000000		
6,9,22500000.000000		
4,31,75000000.000000		
4,34,93000000.000000		
4,16,49500000.000000		
4,12,72000000.000000		
4,37,61500000.000000		
4,2,22500000.000000		
4,38,63000000.000000		
4,13,96000000.000000		
3,48,72000000.000000		
3,50,28500000.000000		
3,14,49500000.000000		
3,54,27000000.000000		
3,19,94500000.000000		
3,2,33000000.000000		
4,10,90000000.000000		
4,56,36000000.000000		
4,52,52500000.000000		
4,4,99000000.000000		
3,57,79500000.000000		
3,54,61500000.000000		
3,17,94500000.000000		
2,55,79500000.000000		
2,0,75000000.000000		
2,27,55500000.000000		
2,1,67500000.000000		
3,2,52500000.000000		
3,28,27000000.000000		
3,4,37500000.000000		
5,9,84000000.000000		
5,35,73500000.000000		
5,55,37500000.000000		
5,39,36000000.000000		
5,5,69000000.000000		
6, 3,66000000.000000		
6,59,24000000.000000		
6,37,19500000.000000		
6,40,60000000.000000		
6,2,43500000.000000		
6,0,45000000.000000		
5,2,69000000.000000		
5,46,58500000.000000		
5,10,100500000.000000
5,58,87000000.000000		
5,8,30000000.000000		
2,41,94500000.000000		
2,12,100500000.000000	
3,39,90000000.000000		
3,29,58500000.000000		
3,21,55500000.000000		
4,39,73500000.000000		
4,4,22500000.000000		
4,2,87000000.000000		
4,22,27000000.000000		
4,57,58500000.000000		
4,7,30000000.000000		
4,4,90000000.000000		
4,27,58500000.000000		
3,38,22500000.000000		
3,42,16500000.000000		
3,0,91500000.000000		
4,14,75000000.000000		
4,40,72000000.000000		
4,7,58500000.000000		
4,3,45000000.000000		
3,56,51000000.000000		
3,43,48000000.000000		
3,4,15000000.000000		
3,57,70500000.000000		
3,44,97500000.000000		
3,6,37500000.000000		
4,14,93000000.000000		
4,41,19500000.000000		
4,11,15000000.000000		
4,8,12000000.000000		
4,5,99000000.000000		
4,39,48000000.000000		
4,23,73500000.000000		
4,9,24000000.000000		
3,13,57000000.000000		
3,45,22500000.000000		
3,10,55500000.000000		
5,46,88500000.000000		
5,15,61500000.000000		
5,51,30000000.000000		
5,24,19500000.000000		
5,13,49500000.000000		
6,54,28500000.000000		
6,30,22500000.000000		
6,45,88500000.000000		
6,44,52500000.000000		
6,46,73500000.000000		
6,15,63000000.000000		
4,28,73500000.000000		
4,35,48000000.000000		
4,27,90000000.000000		
4,23,36000000.000000		
5,53,48000000.000000		
5,5,93000000.000000		
5,8,96000000.000000		
5,31,72000000.000000		
5,24,60000000.000000		
2,34,19500000.000000		
2,26,94500000.000000		
2,59,36000000.000000		
2,30,16500000.000000		
4,49,97500000.000000		
4,45,63000000.000000		
4,47,10500000.000000		
4,32,48000000.000000		
2,38,52500000.000000		
2,33,97500000.000000		
5,47,51000000.000000		
5,56,25500000.000000		
5,38,88500000.000000		
5,43,63000000.000000		
5,36,22500000.000000		
6,4,72000000.000000		
6,37,88500000.000000		
6,25,58500000.000000		
6,5,16500000.000000		
6,50,25500000.000000		
6,38,73500000.000000		
3,45,51000000.000000		
3,52,54000000.000000		
3,43,10500000.000000		
4,16,72000000.000000		
4,5,75000000.000000		
4,11,55500000.000000		
4,2,69000000.000000		
3,43,97500000.000000		
3,58,82500000.000000		
3,3,69000000.000000		
3,46,25500000.000000	
3,16,28500000.000000		
3,4,61500000.000000	
5,37,30000000.000000		
5,13,72000000.000000		
5,55,73500000.000000		
5,0,73500000.000000		
5,5,82500000.000000		
3,47,54000000.000000		
3,18,52500000.000000		
3,10,54000000.000000		
3,40,48000000.000000		
3,4,19500000.000000		
3,13,97500000.000000		
3,38,28500000.000000		
3,19,61500000.000000		
3,17,27000000.000000		
3,51,73500000.000000		
3,20,79500000.000000		
3,23,37500000.000000		
3,45,25500000.000000		
3,18,36000000.000000		
3,32,51000000.000000		
4,29,58500000.000000		
4,1,49500000.000000		
4,19,79500000.000000		
4,33,70500000.000000		
4,49,82500000.000000		
4,25,87000000.000000		
4,3,84000000.000000		
4,0,82500000.000000		
2,24,24000000.000000		
2,42,36000000.000000		
