0,0.274771,0.210081
1,0.875330,0.226194
2,0.664298,0.347746
3,0.909612,0.083845
4,0.490225,0.365121
5,0.702919,0.557800
6,0.546762,0.511691
7,0.268145,0.122602
8,0.752104,0.588549
9,0.632734,0.316031
10,0.141963,0.012773
11,0.096860,0.011497
12,0.415829,0.430638
13,0.528710,0.517376
14,0.379723,0.360897
15,0.790636,0.034559
16,0.129177,0.449400
17,0.889911,0.103445
18,0.316205,0.416283
19,0.947843,0.171644
20,0.344003,0.276992
21,0.581003,0.513629
22,0.833135,0.118377
23,0.788310,0.433591
24,0.202957,0.211122
25,0.937723,0.582752
26,0.712018,0.539751
27,0.946296,0.522375
28,0.801204,0.331458
29,0.247342,0.363729
30,0.083358,0.265019
31,0.638456,0.016264
32,0.823143,0.141031
33,0.604143,0.075223
34,0.250879,0.094732
35,0.206812,0.279978
36,0.554125,0.532642
37,0.139879,0.174299
38,0.890739,0.474292
39,0.036722,0.299843
